"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03770099999","2014-01-01","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.6","23","  44.3","23","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","23","999.9","999.9","  53.1","*","  42.1"," "," 0.19","G","999.9","000000"
"03770099999","2014-01-02","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.5","24","  42.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.8","*","  43.9","*"," 0.48","G","999.9","000000"
"03770099999","2014-01-03","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.2","24","  41.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.3"," ","  45.3","*"," 0.11","G","999.9","000000"
"03770099999","2014-01-04","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.4","24","  41.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.5"," ","  40.1","*"," 0.22","G","999.9","000000"
"03770099999","2014-01-05","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  43.0","24","  39.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  53.6","*","  35.4","*"," 0.23","G","999.9","000000"
"03770099999","2014-01-06","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  52.8","24","  45.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.9"," ","  47.5"," "," 0.24","G","999.9","000000"
"03770099999","2014-01-07","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.4","24","  43.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.0"," ","  48.0","*"," 0.25","G","999.9","000000"
"03770099999","2014-01-08","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  49.3","24","  44.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.1"," ","  44.6"," "," 0.19","G","999.9","000000"
"03770099999","2014-01-09","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.2","24","  40.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.0","*","  41.2","*"," 0.07","G","999.9","000000"
"03770099999","2014-01-10","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.3","24","  39.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.6"," ","  37.0","*"," 0.10","G","999.9","000000"
